Submitted,ElapsedTime,Attempt,ItemID,ItemType,I am nervous about taking organic chemistry.,ItemID,ItemType,I am excited to learn organic chemistry.,ItemID,ItemType,I see a connection between chemistry and real-world topics.,ItemID,ItemType,I am nervous about taking organic chemistry.,ItemID,ItemType,I am excited to learn organic chemistry.,ItemID,ItemType,I see a connection between chemistry and real-world topics.,ItemID,ItemType,What is the definition of “Organic Chemistry”,ItemID,ItemType,What do “wedges” and “hashes” tell us?,ItemID,ItemType,How many bonds are typically attached to a Carbon atom?,ItemID,ItemType,"In a typical short-hand structure of an organic molecule, where are the carbons?",ItemID,ItemType,"How many carbons and hydrogens are in this chemical structure?  
",ItemID,ItemType,Organic molecules in coffee are typically responsible for which of the following?,ItemID,ItemType,The video helped introduce me to unfamiliar or less familiar concepts.,ItemID,ItemType,The immersive format helped me understand the material in a new way.,ItemID,ItemType,I needed to rewatch parts to fully understand them.,ItemID,ItemType,"What stood out to you most about this video, and did it change how you think about organic chemistry in any way? ",ItemID,ItemType,How long did you watch the video. Be honest!,ItemID,ItemType,The video changed how I think about organic chemistry.
2026-03-22 07:20:58 UTC,26:12:44,1,96066,choice,Strongly Agree,96067,choice,Disagree,96068,choice,Agree,96069,choice,Strongly agree,96070,choice,Neutral,96071,choice,Strongly agree,96072,choice,"<p><span style=""font-weight: 400;"">The chemistry of carbon-based molecules.</span></p>",96073,choice,"<p><span style=""font-weight: 400;"">Stereochemistry, or how atoms are oriented in 3D</span></p>",96074,choice,4,96075,choice,Both where the bonds end and connect,96076,choice,"<p><span style=""font-weight: 400;"">5 carbons, 10 hydrogens</span></p>",96077,choice,All of the above,96078,choice,Agree,96079,choice,Neutral,96080,choice,Agree,96081,essay,<p>The way they connected organic chemistry to coffee was interesting but it didn't change how I think about organic chemistry.&nbsp;</p>,96082,choice,I watched the entire video,96083,choice,Neutral
2026-03-14 04:10:08 UTC,0:04:34,1,96066,choice,Neutral,96067,choice,Neutral,96068,choice,Agree,96069,choice,Neutral,96070,choice,Neutral,96071,choice,Agree,96072,choice,"<p><span style=""font-weight: 400;"">The chemistry of carbon-based molecules.</span></p>",96073,choice,"<p><span style=""font-weight: 400;"">Stereochemistry, or how atoms are oriented in 3D</span></p>",96074,choice,4,96075,choice,Both where the bonds end and connect,96076,choice,"<p><span style=""font-weight: 400;"">5 carbons, 10 hydrogens</span></p>",96077,choice,All of the above,96078,choice,Agree,96079,choice,Neutral,96080,choice,Neutral,96081,essay,<p>I like that they try to break it down in an understandable way and use examples.&nbsp;</p>,96082,choice,30 seconds to 2 minutes,96083,choice,Neutral
2026-03-20 06:35:56 UTC,0:01:58,1,96066,choice,Agree,96067,choice,Agree,96068,choice,Agree,96069,choice,Agree,96070,choice,Neutral,96071,choice,Neutral,96072,choice,"<p><span style=""font-weight: 400;"">The chemistry of substances found in nature, excluding anything man-made.</span></p>",96073,choice,How a molecule reacts,96074,choice,2,96075,choice,Where the bond connects,96076,choice,"<p><span style=""font-weight: 400;"">5 carbons, 10 hydrogens</span></p>",96077,choice,All of the above,96078,choice,Neutral,96079,choice,Neutral,96080,choice,Neutral,96081,essay,,96082,choice,I watched the entire video,96083,choice,Neutral
2026-03-14 04:14:30 UTC,0:04:14,1,96066,choice,Neutral,96067,choice,Agree,96068,choice,Neutral,96069,choice,Disagree,96070,choice,Agree,96071,choice,Agree,96072,choice,"<p><span style=""font-weight: 400;"">The chemistry of carbon-based molecules.</span></p>",96073,choice,"<p><span style=""font-weight: 400;"">Stereochemistry, or how atoms are oriented in 3D</span></p>",96074,choice,3,96075,choice,Both where the bonds end and connect,96076,choice,"<p><span style=""font-weight: 400;"">4 carbons, 8 hydrogens</span></p>",96077,choice,All of the above,96078,choice,Neutral,96079,choice,Agree,96080,choice,Strongly agree,96081,essay,<p>I liked observing the models</p>,96082,choice,30 seconds to 2 minutes,96083,choice,Neutral
2026-03-15 06:17:25 UTC,0:28:25,1,96066,choice,Strongly Agree,96067,choice,Neutral,96068,choice,Agree,96069,choice,Strongly agree,96070,choice,Neutral,96071,choice,Strongly agree,96072,choice,"<p><span style=""font-weight: 400;"">The chemistry of carbon-based molecules.</span></p>",96073,choice,"<p><span style=""font-weight: 400;"">Stereochemistry, or how atoms are oriented in 3D</span></p>",96074,choice,4,96075,choice,Both where the bonds end and connect,96076,choice,"<p><span style=""font-weight: 400;"">5 carbons, 10 hydrogens</span></p>",96077,choice,Smell of coffee,96078,choice,Agree,96079,choice,Agree,96080,choice,Disagree,96081,essay,<p>Nothing stood out to me and nothing changed how I think about organic chemistry. I've just heard from all around me how difficult and scary and grade tanking it is that this video is not going to magically make me feel comfortable about it.&nbsp;</p>,96082,choice,I watched the entire video,96083,choice,Strongly disagree
2026-03-14 04:26:29 UTC,0:08:37,1,96066,choice,Strongly Agree,96067,choice,Strongly disagree,96068,choice,Disagree,96069,choice,Strongly agree,96070,choice,Strongly disagree,96071,choice,Neutral,96072,choice,"<p><span style=""font-weight: 400;"">The chemistry of carbon-based molecules.</span></p>",96073,choice,"<p><span style=""font-weight: 400;"">Stereochemistry, or how atoms are oriented in 3D</span></p>",96074,choice,4,96075,choice,Where the bond connects,96076,choice,"<p><span style=""font-weight: 400;"">5 carbons, 10 hydrogens</span></p>",96077,choice,Smell of coffee,96078,choice,Agree,96079,choice,Agree,96080,choice,Neutral,96081,essay,"<p>Probably the connection to coffee, I thought that was interesting. It showed me that chemistry does play a role in everyday life, though it may not seem like it.&nbsp;</p>",96082,choice,I watched the entire video,96083,choice,Neutral
2026-03-14 20:25:04 UTC,0:06:25,1,96066,choice,Agree,96067,choice,Agree,96068,choice,Agree,96069,choice,Agree,96070,choice,Strongly agree,96071,choice,Agree,96072,choice,"<p><span style=""font-weight: 400;"">The chemistry of carbon-based molecules.</span></p>",96073,choice,"<p><span style=""font-weight: 400;"">Stereochemistry, or how atoms are oriented in 3D</span></p>",96074,choice,4,96075,choice,Both where the bonds end and connect,96076,choice,"<p><span style=""font-weight: 400;"">5 carbons, 10 hydrogens</span></p>",96077,choice,All of the above,96078,choice,Agree,96079,choice,Agree,96080,choice,Agree,96081,essay,<p>This video stood out to me because at first I was very scared to take organic chemistry but now I feel like its a course that is not going to be as bad as it is made out to be.</p>,96082,choice,I watched the entire video,96083,choice,Agree
2026-03-14 04:26:24 UTC,0:03:12,1,96066,choice,Agree,96067,choice,Neutral,96068,choice,Neutral,96069,choice,Agree,96070,choice,Neutral,96071,choice,Strongly agree,96072,choice,"<p><span style=""font-weight: 400;"">The chemistry of carbon-based molecules.</span></p>",96073,choice,"<p><span style=""font-weight: 400;"">Stereochemistry, or how atoms are oriented in 3D</span></p>",96074,choice,4,96075,choice,Both where the bonds end and connect,96076,choice,"<p><span style=""font-weight: 400;"">5 carbons, 10 hydrogens</span></p>",96077,choice,All of the above,96078,choice,Disagree,96079,choice,Neutral,96080,choice,Neutral,96081,essay,<p>No it didn't really change how I think of ochem</p>,96082,choice,I watched the entire video,96083,choice,Disagree
2026-03-14 04:25:54 UTC,0:01:18,1,96066,choice,Strongly Agree,96067,choice,Strongly disagree,96068,choice,Neutral,96069,choice,Strongly agree,96070,choice,Strongly disagree,96071,choice,Disagree,96072,choice,"<p><span style=""font-weight: 400;"">The chemistry of carbon-based molecules.</span></p>",96073,choice,"<p><span style=""font-weight: 400;"">Stereochemistry, or how atoms are oriented in 3D</span></p>",96074,choice,4,96075,choice,Both where the bonds end and connect,96076,choice,"<p><span style=""font-weight: 400;"">5 carbons, 10 hydrogens</span></p>",96077,choice,Smell of coffee,96078,choice,Agree,96079,choice,Agree,96080,choice,Agree,96081,essay,<p>I liked the visuals.</p>,96082,choice,I watched the entire video,96083,choice,Neutral
2026-03-14 04:33:51 UTC,0:03:47,1,96066,choice,Strongly disagree,96067,choice,Disagree,96068,choice,Agree,96069,choice,Agree,96070,choice,Neutral,96071,choice,Strongly disagree,96072,choice,"<p><span style=""font-weight: 400;"">The chemistry of carbon-based molecules.</span></p>",96073,choice,"<p><span style=""font-weight: 400;"">Stereochemistry, or how atoms are oriented in 3D</span></p>",96074,choice,4,96075,choice,Both where the bonds end and connect,96076,choice,"<p><span style=""font-weight: 400;"">5 carbons, 10 hydrogens</span></p>",96077,choice,All of the above,96078,choice,Agree,96079,choice,Agree,96080,choice,Disagree,96081,essay,"<p>I really enjoyed the background of the video as a cafe, because it tied really well to the information about coffee. I think it's nice knowing that organic chemistry is all around us and can be tied to even mundane parts of life.</p>",96082,choice,30 seconds to 2 minutes,96083,choice,Agree
