Submitted,ElapsedTime,Attempt,ItemID,ItemType,I am nervous about taking organic chemistry.,ItemID,ItemType,I am excited to learn organic chemistry.,ItemID,ItemType,I see a connection between chemistry and real-world topics.,ItemID,ItemType,I am nervous about taking organic chemistry.,ItemID,ItemType,I am excited to learn organic chemistry.,ItemID,ItemType,I see a connection between chemistry and real-world topics.,ItemID,ItemType,What is the definition of “Organic Chemistry”,ItemID,ItemType,What do “wedges” and “hashes” tell us?,ItemID,ItemType,How many bonds are typically attached to a Carbon atom?,ItemID,ItemType,"In a typical short-hand structure of an organic molecule, where are the carbons?",ItemID,ItemType,"How many carbons and hydrogens are in this chemical structure?  
",ItemID,ItemType,Organic molecules in coffee are typically responsible for which of the following?,ItemID,ItemType,The video helped introduce me to unfamiliar or less familiar concepts.,ItemID,ItemType,The immersive format helped me understand the material in a new way.,ItemID,ItemType,I needed to rewatch parts to fully understand them.,ItemID,ItemType,"What stood out to you most about this video, and did it change how you think about organic chemistry in any way? ",ItemID,ItemType,How long did you watch the video. Be honest!,ItemID,ItemType,The video changed how I think about organic chemistry.
2026-03-17 05:34:05 UTC,0:10:04,1,95195,choice,Strongly Agree,95196,choice,Agree,95197,choice,Agree,95198,choice,Strongly agree,95199,choice,Agree,95200,choice,Strongly agree,95201,choice,"<p><span style=""font-weight: 400;"">The chemistry of carbon-based molecules.</span></p>",95202,choice,"<p><span style=""font-weight: 400;"">Stereochemistry, or how atoms are oriented in 3D</span></p>",95203,choice,4,95204,choice,Both where the bonds end and connect,95205,choice,"<p><span style=""font-weight: 400;"">5 carbons, 5 hydrogens</span></p>",95206,choice,All of the above,95207,choice,Agree,95208,choice,Agree,95209,choice,Agree,95210,essay,"<p>What stood out to me was the structure of organic molecules. It was interesting to see how to write combounds in a more simplified manner. Doing this used to look scary, but after watching the video it seems easier and more straightforward than I originally thought. I am still nervous about taking this course, but I belive with persistant effort I will succeed.&nbsp;</p>",95211,choice,I watched the entire video,95212,choice,Neutral
2026-03-11 06:06:16 UTC,0:06:55,1,95195,choice,Strongly Agree,95196,choice,Strongly agree,95197,choice,Strongly agree,95198,choice,Agree,95199,choice,Strongly agree,95200,choice,Strongly agree,95201,choice,"<p><span style=""font-weight: 400;"">The chemistry of carbon-based molecules.</span></p>",95202,choice,"<p><span style=""font-weight: 400;"">Stereochemistry, or how atoms are oriented in 3D</span></p>",95203,choice,4,95204,choice,Both where the bonds end and connect,95205,choice,"<p><span style=""font-weight: 400;"">5 carbons, 10 hydrogens</span></p>",95206,choice,All of the above,95207,choice,Agree,95208,choice,Agree,95209,choice,Agree,95210,essay,"<p>What stood out to me about this video is that the speakers were reassuring and made me feel more uncomfortable about not understanding organic chemistry right away, whereas a lot of other videos will jump straight in and make everything seem complex, making me feel like I am not smart enough. This video however, not only made me feel validated but also gave a simple and straightfoward introduction to multiple concepts in organic chemistry.</p>",95211,choice,I watched the entire video,95212,choice,Disagree
2026-03-10 19:34:20 UTC,0:06:16,1,95195,choice,Agree,95196,choice,Agree,95197,choice,Strongly agree,95198,choice,Neutral,95199,choice,Strongly agree,95200,choice,Strongly agree,95201,choice,"<p><span style=""font-weight: 400;"">The chemistry of carbon-based molecules.</span></p>",95202,choice,"<p><span style=""font-weight: 400;"">Stereochemistry, or how atoms are oriented in 3D</span></p>",95203,choice,4,95204,choice,Both where the bonds end and connect,95205,choice,"<p><span style=""font-weight: 400;"">5 carbons, 10 hydrogens</span></p>",95206,choice,All of the above,95207,choice,Agree,95208,choice,Strongly agree,95209,choice,Strongly disagree,95210,essay,"<p>This was such an exciting way to be introduced to organic chemistry! I would say the combination of the immersion and minimalist formats made this video so much more engaging. Instead of the presenters talking to the audience as if they are simply, well an audience, the cafe setting gives the audience (or at least me) the perception that I am at the cafe, increasing my focus. I also appreciate that the concepts were presented in a straightforward way (no overwhelming/dense content, easy to understand language, enthusiatic tone, etc.). While I know organic chemistry won't always be this exciting, it does make me wish there was a video like this for every topic!</p>",95211,choice,I watched the entire video,95212,choice,Agree
2026-03-14 08:12:16 UTC,0:07:13,1,95195,choice,Agree,95196,choice,Neutral,95197,choice,Agree,95198,choice,Agree,95199,choice,Neutral,95200,choice,Strongly agree,95201,choice,"<p><span style=""font-weight: 400;"">The chemistry of carbon-based molecules.</span></p>",95202,choice,"<p><span style=""font-weight: 400;"">Stereochemistry, or how atoms are oriented in 3D</span></p>",95203,choice,4,95204,choice,Both where the bonds end and connect,95205,choice,"<p><span style=""font-weight: 400;"">5 carbons, 10 hydrogens</span></p>",95206,choice,All of the above,95207,choice,Agree,95208,choice,Agree,95209,choice,Agree,95210,essay,"<p>One thing that stood out to me in the video was how organic molecules in coffee are responsible for smell, taste, and stimulant effects. It was interesting because when I think of ochem, I really only think about molecule diagrams and symbols, so it was particularly interesting to see the content be applied to real-life scenarios and how it is responsible for things that may affect us in our lives.</p>",95211,choice,30 seconds to 2 minutes,95212,choice,Agree
2026-03-11 18:19:07 UTC,0:06:01,1,95195,choice,Neutral,95196,choice,Neutral,95197,choice,Neutral,95198,choice,Neutral,95199,choice,Neutral,95200,choice,Agree,95201,choice,"<p><span style=""font-weight: 400;"">The chemistry of carbon-based molecules.</span></p>",95202,choice,"<p><span style=""font-weight: 400;"">Stereochemistry, or how atoms are oriented in 3D</span></p>",95203,choice,4,95204,choice,Both where the bonds end and connect,95205,choice,"<p><span style=""font-weight: 400;"">5 carbons, 10 hydrogens</span></p>",95206,choice,All of the above,95207,choice,Agree,95208,choice,Strongly agree,95209,choice,Disagree,95210,essay,"<p>The amount of visuals that was present in the video stood out to me. I am a visual learner, therefore, the visuals of the molecular breakdown of carbon-based molecules and connection to real-world examples (coffee), kept me visually engaged and enhanced my learning. It influenced the way I think about organic chemistry, as I realized it wasn't as intimidating was I originally thought.</p>",95211,choice,I watched the entire video,95212,choice,Agree
2026-03-10 20:36:15 UTC,0:04:50,1,95195,choice,Agree,95196,choice,Agree,95197,choice,Agree,95198,choice,Strongly agree,95199,choice,Strongly agree,95200,choice,Strongly agree,95201,choice,"<p><span style=""font-weight: 400;"">The chemistry of carbon-based molecules.</span></p>",95202,choice,"<p><span style=""font-weight: 400;"">Stereochemistry, or how atoms are oriented in 3D</span></p>",95203,choice,4,95204,choice,Both where the bonds end and connect,95205,choice,"<p><span style=""font-weight: 400;"">5 carbons, 10 hydrogens</span></p>",95206,choice,All of the above,95207,choice,Agree,95208,choice,Agree,95209,choice,Agree,95210,essay,"<p>What stood out to me the most about this video was the complexity and 3D nature of organic chemistry via wedges and hashes, in which it helped me realize that molecules aren't simply flat drawings on a page but instead represent physical objects with distinct, specific shapes and conformations that enable the formation of such incredibly intricate carbon-based structures in the natural world. It offered greater excitement for the implications of honing one's understanding of the greater operations of life and carbon-based structures through a strong. foundation in organic chemistry.&nbsp;</p>",95211,choice,30 seconds to 2 minutes,95212,choice,Agree
2026-03-11 05:21:25 UTC,0:09:26,1,95195,choice,Strongly Agree,95196,choice,Agree,95197,choice,Disagree,95198,choice,Agree,95199,choice,Agree,95200,choice,Strongly agree,95201,choice,"<p><span style=""font-weight: 400;"">The chemistry of carbon-based molecules.</span></p>",95202,choice,"<p><span style=""font-weight: 400;"">Stereochemistry, or how atoms are oriented in 3D</span></p>",95203,choice,4,95204,choice,Where the bond connects,95205,choice,"<p><span style=""font-weight: 400;"">5 carbons, 10 hydrogens</span></p>",95206,choice,Smell of coffee,95207,choice,Strongly agree,95208,choice,Strongly agree,95209,choice,Strongly agree,95210,essay,"<p>What stood out to me most about this video is that they approached learning organic chemistry as something fun rather than stressful, and that helped me be less nervous about taking it. I also really enjoyed that they approached it from a useful point of view and how it actually relates to our real life.&nbsp;</p>",95211,choice,I watched the entire video,95212,choice,Strongly agree
2026-03-19 23:52:58 UTC,0:01:39,1,95195,choice,Strongly disagree,95196,choice,Strongly agree,95197,choice,Strongly agree,95198,choice,Strongly disagree,95199,choice,Strongly agree,95200,choice,Strongly agree,95201,choice,"<p><span style=""font-weight: 400;"">The chemistry of carbon-based molecules.</span></p>",95202,choice,"<p><span style=""font-weight: 400;"">Stereochemistry, or how atoms are oriented in 3D</span></p>",95203,choice,4,95204,choice,Both where the bonds end and connect,95205,choice,"<p><span style=""font-weight: 400;"">5 carbons, 10 hydrogens</span></p>",95206,choice,All of the above,95207,choice,Agree,95208,choice,Agree,95209,choice,Strongly disagree,95210,essay,<p>I really liked the format</p>,95211,choice,I did not watch it,95212,choice,Neutral
2026-03-11 22:15:53 UTC,0:06:04,1,95195,choice,Strongly Agree,95196,choice,Neutral,95197,choice,Neutral,95198,choice,Agree,95199,choice,Agree,95200,choice,Agree,95201,choice,"<p><span style=""font-weight: 400;"">The chemistry of carbon-based molecules.</span></p>",95202,choice,"<p><span style=""font-weight: 400;"">Stereochemistry, or how atoms are oriented in 3D</span></p>",95203,choice,4,95204,choice,Both where the bonds end and connect,95205,choice,"<p><span style=""font-weight: 400;"">5 carbons, 10 hydrogens</span></p>",95206,choice,Smell of coffee,95207,choice,Agree,95208,choice,Agree,95209,choice,Disagree,95210,essay,"<p>The video explained difficult concepts in simple ways that changed the way I percieve organic chemistry. Initially, I found organic chemistry very intimidating, however now I am more interested and have hope that I will be able to understand if taught thoroughly like this.&nbsp;</p>",95211,choice,I watched the entire video,95212,choice,Agree
2026-03-10 23:40:22 UTC,0:05:03,1,95195,choice,Agree,95196,choice,Neutral,95197,choice,Strongly agree,95198,choice,Neutral,95199,choice,Strongly agree,95200,choice,Agree,95201,choice,"<p><span style=""font-weight: 400;"">The chemistry of carbon-based molecules.</span></p>",95202,choice,"<p><span style=""font-weight: 400;"">Stereochemistry, or how atoms are oriented in 3D</span></p>",95203,choice,4,95204,choice,Where the bond connects,95205,choice,"<p><span style=""font-weight: 400;"">5 carbons, 5 hydrogens</span></p>",95206,choice,All of the above,95207,choice,Agree,95208,choice,Agree,95209,choice,Strongly agree,95210,essay,<p>What stood out to me was the visualization of explaining organic chemistry as I heard the explanation of the topic while seeing the structures and visualizations at the same time which is pretty helpful and changed the way I think about learning organic chemistry.</p>,95211,choice,I watched the entire video,95212,choice,Agree
