cohort,submission_n,submitted_utc,essay_blank,essay_chars,T1_everyday_coffee,T2_clarity_pace,T3_visual_immersion,T4_affect_stigma,T5_concepts_prior,T6_limits_friction,theme_count,themes_flagged,needs_manual_review
DD,1,2026-03-22 07:20:58 UTC,0,124,1,0,0,0,0,1,2,T1_everyday_coffee;T6_limits_friction,0
DD,2,2026-03-14 04:10:08 UTC,0,80,0,1,0,0,0,0,1,T2_clarity_pace,0
DD,4,2026-03-14 04:14:30 UTC,0,28,0,0,1,0,0,0,1,T3_visual_immersion,0
DD,5,2026-03-15 06:17:25 UTC,0,240,0,0,0,1,0,1,2,T4_affect_stigma;T6_limits_friction,0
DD,6,2026-03-14 04:26:29 UTC,0,161,1,0,0,0,0,0,1,T1_everyday_coffee,0
DD,7,2026-03-14 20:25:04 UTC,0,176,0,0,0,1,0,0,1,T4_affect_stigma,0
DD,8,2026-03-14 04:26:24 UTC,0,47,0,0,0,0,0,1,1,T6_limits_friction,0
DD,9,2026-03-14 04:25:54 UTC,0,20,0,0,1,0,0,0,1,T3_visual_immersion,0
DD,10,2026-03-14 04:33:51 UTC,0,229,1,0,0,0,0,0,1,T1_everyday_coffee,0
DD,11,2026-03-14 04:34:21 UTC,0,42,0,0,0,0,0,0,0,,1
DD,12,2026-03-14 06:12:26 UTC,0,226,0,1,0,1,0,0,2,T2_clarity_pace;T4_affect_stigma,0
DD,13,2026-03-14 04:42:34 UTC,0,171,1,0,0,0,0,0,1,T1_everyday_coffee,0
DD,15,2026-03-14 04:48:37 UTC,0,109,0,0,0,0,1,0,1,T5_concepts_prior,0
DD,16,2026-03-14 04:48:21 UTC,0,141,0,0,0,1,1,0,2,T4_affect_stigma;T5_concepts_prior,0
DD,17,2026-03-14 05:52:12 UTC,0,171,1,0,0,0,0,0,1,T1_everyday_coffee,0
DD,18,2026-03-18 07:46:14 UTC,0,69,0,0,1,0,0,0,1,T3_visual_immersion,0
DD,19,2026-03-14 05:09:32 UTC,0,87,0,0,0,1,0,0,1,T4_affect_stigma,0
DD,20,2026-03-14 05:10:40 UTC,0,67,0,1,0,0,0,0,1,T2_clarity_pace,0
DD,21,2026-03-14 05:18:05 UTC,0,161,1,0,0,0,0,0,1,T1_everyday_coffee,0
DD,22,2026-03-16 00:55:49 UTC,0,198,1,0,1,0,0,0,2,T1_everyday_coffee;T3_visual_immersion,0
DD,23,2026-03-14 05:17:13 UTC,0,128,1,0,0,0,0,0,1,T1_everyday_coffee,0
DD,24,2026-03-14 06:39:29 UTC,0,287,0,0,0,1,0,0,1,T4_affect_stigma,0
DD,25,2026-03-14 05:25:32 UTC,0,419,1,1,0,0,1,0,3,T1_everyday_coffee;T2_clarity_pace;T5_concepts_prior,0
DD,26,2026-03-14 05:22:49 UTC,0,151,1,0,0,0,0,0,1,T1_everyday_coffee,0
DD,27,2026-03-14 05:30:29 UTC,0,370,1,1,0,0,0,0,2,T1_everyday_coffee;T2_clarity_pace,0
DD,28,2026-03-14 05:36:28 UTC,0,147,0,0,1,0,1,0,2,T3_visual_immersion;T5_concepts_prior,0
DD,29,2026-03-14 05:52:18 UTC,0,315,1,0,0,0,0,0,1,T1_everyday_coffee,0
DD,30,2026-03-14 06:02:31 UTC,0,277,0,1,0,1,1,0,3,T2_clarity_pace;T4_affect_stigma;T5_concepts_prior,0
DD,31,2026-03-15 21:53:02 UTC,0,68,0,0,0,0,1,0,1,T5_concepts_prior,0
DD,32,2026-03-14 05:45:24 UTC,0,150,0,0,0,0,1,0,1,T5_concepts_prior,0
